"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","HUR","TOT","PC_LF","M","2005-09",6.1,"P"
"AUT","HUR","TOT","PC_LF","M","2005-10",6.2,"P"
"AUT","HUR","TOT","PC_LF","M","2005-11",6.1,"P"
"AUT","HUR","TOT","PC_LF","M","2005-12",6.1,"P"
"AUT","HUR","TOT","PC_LF","M","2006-01",6.1,"P"
"AUT","HUR","TOT","PC_LF","M","2006-02",6,"P"
"AUT","HUR","TOT","PC_LF","M","2006-03",6.1,"P"
"AUT","HUR","TOT","PC_LF","M","2006-04",5.7,"P"
"AUT","HUR","TOT","PC_LF","M","2006-05",5.4,"P"
"AUT","HUR","TOT","PC_LF","M","2006-06",6,"P"
"AUT","HUR","TOT","PC_LF","M","2006-07",5.5,"P"
"AUT","HUR","TOT","PC_LF","M","2006-08",5.3,"P"
"AUT","HUR","TOT","PC_LF","M","2006-09",5.1,"P"
"AUT","HUR","TOT","PC_LF","M","2006-10",5.3,"P"
"AUT","HUR","TOT","PC_LF","M","2006-11",5.3,"P"
"AUT","HUR","TOT","PC_LF","M","2006-12",5.4,"P"
"AUT","HUR","TOT","PC_LF","M","2007-01",5.2,"P"
"AUT","HUR","TOT","PC_LF","M","2007-02",5.5,"P"
"AUT","HUR","TOT","PC_LF","M","2007-03",5.1,"P"
"AUT","HUR","TOT","PC_LF","M","2007-04",5.6,"P"
"AUT","HUR","TOT","PC_LF","M","2007-05",5.6,"P"
"AUT","HUR","TOT","PC_LF","M","2007-06",5.2,"P"
"AUT","HUR","TOT","PC_LF","M","2007-07",5.5,"P"
"AUT","HUR","TOT","PC_LF","M","2007-08",5.4,"P"
"AUT","HUR","TOT","PC_LF","M","2007-09",5,"P"
"AUT","HUR","TOT","PC_LF","M","2007-10",5,"P"
"AUT","HUR","TOT","PC_LF","M","2007-11",4.9,"P"
"AUT","HUR","TOT","PC_LF","M","2007-12",4.5,"P"
"AUT","HUR","TOT","PC_LF","M","2008-01",4.7,"P"
"AUT","HUR","TOT","PC_LF","M","2008-02",4.6,"P"
"AUT","HUR","TOT","PC_LF","M","2008-03",4.3,"P"
"AUT","HUR","TOT","PC_LF","M","2008-04",4.2,"P"
"AUT","HUR","TOT","PC_LF","M","2008-05",4.1,"P"
"AUT","HUR","TOT","PC_LF","M","2008-06",3.9,"P"
"AUT","HUR","TOT","PC_LF","M","2008-07",4.4,"P"
"AUT","HUR","TOT","PC_LF","M","2008-08",4.4,"P"
"AUT","HUR","TOT","PC_LF","M","2008-09",4.3,"P"
"AUT","HUR","TOT","PC_LF","M","2008-10",4.4,"P"
"AUT","HUR","TOT","PC_LF","M","2008-11",4.8,"P"
"AUT","HUR","TOT","PC_LF","M","2008-12",5.1,"P"
"AUT","HUR","TOT","PC_LF","M","2009-01",5,"P"
"AUT","HUR","TOT","PC_LF","M","2009-02",4.9,"P"
"AUT","HUR","TOT","PC_LF","M","2009-03",5.3,"P"
"AUT","HUR","TOT","PC_LF","M","2009-04",5.7,"P"
"AUT","HUR","TOT","PC_LF","M","2009-05",5.6,"P"
"AUT","HUR","TOT","PC_LF","M","2009-06",5.9,"P"
"AUT","HUR","TOT","PC_LF","M","2009-07",6.2,"P"
"AUT","HUR","TOT","PC_LF","M","2009-08",5.8,"P"
"AUT","HUR","TOT","PC_LF","M","2009-09",6.5,"P"
"AUT","HUR","TOT","PC_LF","M","2009-10",6,"P"
"AUT","HUR","TOT","PC_LF","M","2009-11",6,"P"
"AUT","HUR","TOT","PC_LF","M","2009-12",5.4,"P"
"AUT","HUR","TOT","PC_LF","M","2010-01",5.3,"P"
"AUT","HUR","TOT","PC_LF","M","2010-02",5.3,"P"
"AUT","HUR","TOT","PC_LF","M","2010-03",5.5,"P"
"AUT","HUR","TOT","PC_LF","M","2010-04",5.5,"P"
"AUT","HUR","TOT","PC_LF","M","2010-05",5.3,"P"
"AUT","HUR","TOT","PC_LF","M","2010-06",5.3,"P"
"AUT","HUR","TOT","PC_LF","M","2010-07",5.2,"P"
"AUT","HUR","TOT","PC_LF","M","2010-08",5.2,"P"
"AUT","HUR","TOT","PC_LF","M","2010-09",5.1,"P"
"AUT","HUR","TOT","PC_LF","M","2010-10",5.2,"P"
"AUT","HUR","TOT","PC_LF","M","2010-11",4.7,"P"
"AUT","HUR","TOT","PC_LF","M","2010-12",4.8,"P"
"AUT","HUR","TOT","PC_LF","M","2011-01",4.9,"P"
"AUT","HUR","TOT","PC_LF","M","2011-02",5.5,"P"
"AUT","HUR","TOT","PC_LF","M","2011-03",5,"P"
"AUT","HUR","TOT","PC_LF","M","2011-04",4.9,"P"
"AUT","HUR","TOT","PC_LF","M","2011-05",4.9,"P"
"AUT","HUR","TOT","PC_LF","M","2011-06",4.6,"P"
"AUT","HUR","TOT","PC_LF","M","2011-07",4.3,"P"
"AUT","HUR","TOT","PC_LF","M","2011-08",4.4,"P"
"AUT","HUR","TOT","PC_LF","M","2011-09",4.4,"P"
"AUT","HUR","TOT","PC_LF","M","2011-10",5.2,"P"
"AUT","HUR","TOT","PC_LF","M","2011-11",5.3,"P"
"AUT","HUR","TOT","PC_LF","M","2011-12",5.1,"P"
"AUT","HUR","TOT","PC_LF","M","2012-01",4.6,"P"
"AUT","HUR","TOT","PC_LF","M","2012-02",5,"P"
"AUT","HUR","TOT","PC_LF","M","2012-03",4.9,"P"
"AUT","HUR","TOT","PC_LF","M","2012-04",5,"P"
"AUT","HUR","TOT","PC_LF","M","2012-05",5.1,"P"
"AUT","HUR","TOT","PC_LF","M","2012-06",5.5,"P"
"AUT","HUR","TOT","PC_LF","M","2012-07",5.4,"P"
"AUT","HUR","TOT","PC_LF","M","2012-08",5.6,"P"
"AUT","HUR","TOT","PC_LF","M","2012-09",5.5,"P"
"AUT","HUR","TOT","PC_LF","M","2012-10",5.3,"P"
"AUT","HUR","TOT","PC_LF","M","2012-11",5.4,"P"
"AUT","HUR","TOT","PC_LF","M","2012-12",5.5,"P"
"AUT","HUR","TOT","PC_LF","M","2013-01",5.9,"P"
"AUT","HUR","TOT","PC_LF","M","2013-02",5.6,"P"
"AUT","HUR","TOT","PC_LF","M","2013-03",5.9,"P"
"AUT","HUR","TOT","PC_LF","M","2013-04",5.5,"P"
"AUT","HUR","TOT","PC_LF","M","2013-05",5.4,"P"
"AUT","HUR","TOT","PC_LF","M","2013-06",5.5,"P"
"AUT","HUR","TOT","PC_LF","M","2013-07",5.7,"P"
"AUT","HUR","TOT","PC_LF","M","2013-08",5.6,"P"
"AUT","HUR","TOT","PC_LF","M","2013-09",6.1,"P"
"AUT","HUR","TOT","PC_LF","M","2013-10",5.8,"P"
"AUT","HUR","TOT","PC_LF","M","2013-11",6,"P"
"AUT","HUR","TOT","PC_LF","M","2013-12",5.9,"P"
"AUT","HUR","TOT","PC_LF","M","2014-01",6.2,"P"
"AUT","HUR","TOT","PC_LF","M","2014-02",5.8,"P"
"AUT","HUR","TOT","PC_LF","M","2014-03",6.2,"P"
"AUT","HUR","TOT","PC_LF","M","2014-04",5.5,"P"
"AUT","HUR","TOT","PC_LF","M","2014-05",5.9,"P"
"AUT","HUR","TOT","PC_LF","M","2014-06",6.1,"P"
"AUT","HUR","TOT","PC_LF","M","2014-07",6.1,"P"
"AUT","HUR","TOT","PC_LF","M","2014-08",6.1,"P"
"AUT","HUR","TOT","PC_LF","M","2014-09",6.1,"P"
"AUT","HUR","TOT","PC_LF","M","2014-10",6,"P"
"AUT","HUR","TOT","PC_LF","M","2014-11",6.3,"P"
"AUT","HUR","TOT","PC_LF","M","2014-12",6.1,"P"
"AUT","HUR","TOT","PC_LF","M","2015-01",5.9,"P"
"AUT","HUR","TOT","PC_LF","M","2015-02",6,"P"
"AUT","HUR","TOT","PC_LF","M","2015-03",5.9,"P"
"AUT","HUR","TOT","PC_LF","M","2015-04",6.3,"P"
"AUT","HUR","TOT","PC_LF","M","2015-05",6.4,"P"
"AUT","HUR","TOT","PC_LF","M","2015-06",6.1,"P"
"AUT","HUR","TOT","PC_LF","M","2015-07",6.1,"P"
"AUT","HUR","TOT","PC_LF","M","2015-08",6,"P"
"AUT","HUR","TOT","PC_LF","M","2015-09",6.2,"P"
"AUT","HUR","TOT","PC_LF","M","2015-10",6.1,"P"
"AUT","HUR","TOT","PC_LF","M","2015-11",6.7,"P"
"AUT","HUR","TOT","PC_LF","M","2015-12",6.4,"P"
"AUT","HUR","TOT","PC_LF","M","2016-01",6.5,"P"
"AUT","HUR","TOT","PC_LF","M","2016-02",6.4,"P"
"AUT","HUR","TOT","PC_LF","M","2016-03",6.3,"P"
"AUT","HUR","TOT","PC_LF","M","2016-04",6.2,"P"
"AUT","HUR","TOT","PC_LF","M","2016-05",6.8,"P"
"AUT","HUR","TOT","PC_LF","M","2016-06",6.7,"P"
"AUT","HUR","TOT","PC_LF","M","2016-07",6.5,"P"
"AUT","HUR","TOT","PC_LF","M","2016-08",7,"P"
"AUT","HUR","TOT","PC_LF","M","2016-09",6.6,"P"
"AUT","HUR","TOT","PC_LF","M","2016-10",6.3,"P"
"AUT","HUR","TOT","PC_LF","M","2016-11",6.3,"P"
"AUT","HUR","TOT","PC_LF","M","2016-12",6.1,"P"
"AUT","HUR","TOT","PC_LF","M","2017-01",6.1,"P"
"AUT","HUR","TOT","PC_LF","M","2017-02",6,"P"
"AUT","HUR","TOT","PC_LF","M","2017-03",6.1,"P"
"AUT","HUR","TOT","PC_LF","M","2017-04",5.8,"P"
"AUT","HUR","TOT","PC_LF","M","2017-05",6,"P"
"AUT","HUR","TOT","PC_LF","M","2017-06",5.7,"P"
"AUT","HUR","TOT","PC_LF","M","2017-07",5.8,"P"
"AUT","HUR","TOT","PC_LF","M","2017-08",6,"P"
"AUT","HUR","TOT","PC_LF","M","2017-09",6,"P"
"AUT","HUR","TOT","PC_LF","M","2017-10",5.7,"P"
"AUT","HUR","TOT","PC_LF","M","2017-11",6,"P"
"AUT","HUR","TOT","PC_LF","M","2017-12",5.9,"P"
"AUT","HUR","TOT","PC_LF","M","2018-01",5.5,"P"
"AUT","HUR","TOT","PC_LF","M","2018-02",5.3,"P"
"AUT","HUR","TOT","PC_LF","M","2018-03",5.2,"P"
"AUT","HUR","TOT","PC_LF","M","2018-04",5,"P"
"AUT","HUR","TOT","PC_LF","M","2018-05",4.9,"P"
"AUT","HUR","TOT","PC_LF","M","2018-06",5,"P"
"AUT","HUR","TOT","PC_LF","M","2018-07",5.2,"P"
"AUT","HUR","TOT","PC_LF","M","2018-08",5.6,"P"
"AUT","HUR","TOT","PC_LF","M","2018-09",5.5,"P"
"AUT","HUR","TOT","PC_LF","M","2018-10",5.2,"P"
"AUT","HUR","TOT","PC_LF","M","2018-11",5,"P"
"AUT","HUR","TOT","PC_LF","M","2018-12",5.2,"P"
"AUT","HUR","TOT","PC_LF","M","2019-01",4.9,"P"
"AUT","HUR","TOT","PC_LF","M","2019-02",5.1,"P"
"AUT","HUR","TOT","PC_LF","M","2019-03",4.9,"P"
"AUT","HUR","TOT","PC_LF","M","2019-04",5.1,"P"
"AUT","HUR","TOT","PC_LF","M","2019-05",4.9,"P"
"AUT","HUR","TOT","PC_LF","M","2019-06",4.6,"P"
"AUT","HUR","TOT","PC_LF","M","2019-07",4.9,"P"
"AUT","HUR","TOT","PC_LF","M","2019-08",5.1,"P"
"AUT","HUR","TOT","PC_LF","M","2019-09",4.6,"P"
"AUT","HUR","TOT","PC_LF","M","2019-10",4.9,"P"
"AUT","HUR","TOT","PC_LF","M","2019-11",4.4,"P"
"AUT","HUR","TOT","PC_LF","M","2019-12",4.5,"P"
"AUT","HUR","TOT","PC_LF","M","2020-01",4.5,"P"
"AUT","HUR","TOT","PC_LF","M","2020-02",4.5,"P"
"AUT","HUR","TOT","PC_LF","M","2020-03",4.9,"P"
"AUT","HUR","TOT","PC_LF","M","2020-04",6,"P"
"AUT","HUR","TOT","PC_LF","M","2020-05",7.1,"P"
"AUT","HUR","TOT","PC_LF","M","2020-06",7.7,"P"
"AUT","HUR","TOT","PC_LF","M","2020-07",6.8,"P"
"AUT","HUR","TOT","PC_LF","M","2020-08",6.4,"P"
"AUT","HUR","TOT","PC_LF","M","2020-09",6.4,"P"
"AUT","HUR","TOT","PC_LF","M","2020-10",6.1,"P"
"AUT","HUR","TOT","PC_LF","M","2020-11",6.1,"P"
"AUT","HUR","TOT","PC_LF","M","2020-12",6.8,"P"
"AUT","HUR","TOT","PC_LF","M","2021-01",7.3,"P"
"AUT","HUR","TOT","PC_LF","M","2021-02",7,"P"
"AUT","HUR","TOT","PC_LF","M","2021-03",6.7,"P"
"AUT","HUR","TOT","PC_LF","M","2021-04",7.1,"P"
"AUT","HUR","TOT","PC_LF","M","2021-05",6.7,"P"
"AUT","HUR","TOT","PC_LF","M","2021-06",6.2,"P"
"AUT","HUR","TOT","PC_LF","M","2021-07",6,"P"
"AUT","HUR","TOT","PC_LF","M","2021-08",5.9,"P"
"AUT","HUR","TOT","PC_LF","M","2021-09",5.2,"P"
"AUT","HUR","TOT","PC_LF","M","2021-10",5.8,"P"
"BEL","HUR","TOT","PC_LF","M","2005-09",8.5,
"BEL","HUR","TOT","PC_LF","M","2005-10",8.4,
"BEL","HUR","TOT","PC_LF","M","2005-11",8.4,
"BEL","HUR","TOT","PC_LF","M","2005-12",8.5,
"BEL","HUR","TOT","PC_LF","M","2006-01",8.5,
"BEL","HUR","TOT","PC_LF","M","2006-02",8.6,
"BEL","HUR","TOT","PC_LF","M","2006-03",8.6,
"BEL","HUR","TOT","PC_LF","M","2006-04",8.7,
"BEL","HUR","TOT","PC_LF","M","2006-05",8.8,
"BEL","HUR","TOT","PC_LF","M","2006-06",8.5,
"BEL","HUR","TOT","PC_LF","M","2006-07",8,
"BEL","HUR","TOT","PC_LF","M","2006-08",7.8,
"BEL","HUR","TOT","PC_LF","M","2006-09",7.9,
"BEL","HUR","TOT","PC_LF","M","2006-10",7.9,
"BEL","HUR","TOT","PC_LF","M","2006-11",8,
"BEL","HUR","TOT","PC_LF","M","2006-12",7.9,
"BEL","HUR","TOT","PC_LF","M","2007-01",7.8,
"BEL","HUR","TOT","PC_LF","M","2007-02",7.8,
"BEL","HUR","TOT","PC_LF","M","2007-03",7.9,
"BEL","HUR","TOT","PC_LF","M","2007-04",8.2,
"BEL","HUR","TOT","PC_LF","M","2007-05",8.1,
"BEL","HUR","TOT","PC_LF","M","2007-06",7.7,
"BEL","HUR","TOT","PC_LF","M","2007-07",7.3,
"BEL","HUR","TOT","PC_LF","M","2007-08",7,
"BEL","HUR","TOT","PC_LF","M","2007-09",6.9,
"BEL","HUR","TOT","PC_LF","M","2007-10",7,
"BEL","HUR","TOT","PC_LF","M","2007-11",7.1,
"BEL","HUR","TOT","PC_LF","M","2007-12",7.1,
"BEL","HUR","TOT","PC_LF","M","2008-01",7.1,
"BEL","HUR","TOT","PC_LF","M","2008-02",6.9,
"BEL","HUR","TOT","PC_LF","M","2008-03",6.7,
"BEL","HUR","TOT","PC_LF","M","2008-04",6.5,
"BEL","HUR","TOT","PC_LF","M","2008-05",6.5,
"BEL","HUR","TOT","PC_LF","M","2008-06",6.9,
"BEL","HUR","TOT","PC_LF","M","2008-07",7.5,
"BEL","HUR","TOT","PC_LF","M","2008-08",7.6,
"BEL","HUR","TOT","PC_LF","M","2008-09",7.4,
"BEL","HUR","TOT","PC_LF","M","2008-10",6.9,
"BEL","HUR","TOT","PC_LF","M","2008-11",6.7,
"BEL","HUR","TOT","PC_LF","M","2008-12",6.9,
"BEL","HUR","TOT","PC_LF","M","2009-01",7.5,
"BEL","HUR","TOT","PC_LF","M","2009-02",7.8,
"BEL","HUR","TOT","PC_LF","M","2009-03",8,
"BEL","HUR","TOT","PC_LF","M","2009-04",7.9,
"BEL","HUR","TOT","PC_LF","M","2009-05",7.7,
"BEL","HUR","TOT","PC_LF","M","2009-06",7.9,
"BEL","HUR","TOT","PC_LF","M","2009-07",7.9,
"BEL","HUR","TOT","PC_LF","M","2009-08",8,
"BEL","HUR","TOT","PC_LF","M","2009-09",8,
"BEL","HUR","TOT","PC_LF","M","2009-10",7.9,
"BEL","HUR","TOT","PC_LF","M","2009-11",8,
"BEL","HUR","TOT","PC_LF","M","2009-12",8.3,
"BEL","HUR","TOT","PC_LF","M","2010-01",8.6,
"BEL","HUR","TOT","PC_LF","M","2010-02",8.5,
"BEL","HUR","TOT","PC_LF","M","2010-03",8.5,
"BEL","HUR","TOT","PC_LF","M","2010-04",8.5,
"BEL","HUR","TOT","PC_LF","M","2010-05",8.5,
"BEL","HUR","TOT","PC_LF","M","2010-06",8.5,
"BEL","HUR","TOT","PC_LF","M","2010-07",8.5,
"BEL","HUR","TOT","PC_LF","M","2010-08",8.3,
"BEL","HUR","TOT","PC_LF","M","2010-09",8.2,
"BEL","HUR","TOT","PC_LF","M","2010-10",8.1,
"BEL","HUR","TOT","PC_LF","M","2010-11",7.9,
"BEL","HUR","TOT","PC_LF","M","2010-12",7.7,
"BEL","HUR","TOT","PC_LF","M","2011-01",7.3,
"BEL","HUR","TOT","PC_LF","M","2011-02",7.1,
"BEL","HUR","TOT","PC_LF","M","2011-03",6.9,
"BEL","HUR","TOT","PC_LF","M","2011-04",6.8,
"BEL","HUR","TOT","PC_LF","M","2011-05",6.9,
"BEL","HUR","TOT","PC_LF","M","2011-06",7.1,
"BEL","HUR","TOT","PC_LF","M","2011-07",7.4,
"BEL","HUR","TOT","PC_LF","M","2011-08",7.5,
"BEL","HUR","TOT","PC_LF","M","2011-09",7.5,
"BEL","HUR","TOT","PC_LF","M","2011-10",7.2,
"BEL","HUR","TOT","PC_LF","M","2011-11",7.1,
"BEL","HUR","TOT","PC_LF","M","2011-12",7,
"BEL","HUR","TOT","PC_LF","M","2012-01",7.1,
"BEL","HUR","TOT","PC_LF","M","2012-02",7.2,
"BEL","HUR","TOT","PC_LF","M","2012-03",7.2,
"BEL","HUR","TOT","PC_LF","M","2012-04",7.3,
"BEL","HUR","TOT","PC_LF","M","2012-05",7.4,
"BEL","HUR","TOT","PC_LF","M","2012-06",7.4,
"BEL","HUR","TOT","PC_LF","M","2012-07",7.3,
"BEL","HUR","TOT","PC_LF","M","2012-08",7.4,
"BEL","HUR","TOT","PC_LF","M","2012-09",7.7,
"BEL","HUR","TOT","PC_LF","M","2012-10",8.1,
"BEL","HUR","TOT","PC_LF","M","2012-11",8.3,
"BEL","HUR","TOT","PC_LF","M","2012-12",8.4,
"BEL","HUR","TOT","PC_LF","M","2013-01",8.4,
"BEL","HUR","TOT","PC_LF","M","2013-02",8.4,
"BEL","HUR","TOT","PC_LF","M","2013-03",8.4,
"BEL","HUR","TOT","PC_LF","M","2013-04",8.4,
"BEL","HUR","TOT","PC_LF","M","2013-05",8.5,
"BEL","HUR","TOT","PC_LF","M","2013-06",8.4,
"BEL","HUR","TOT","PC_LF","M","2013-07",8.4,
"BEL","HUR","TOT","PC_LF","M","2013-08",8.4,
"BEL","HUR","TOT","PC_LF","M","2013-09",8.5,
"BEL","HUR","TOT","PC_LF","M","2013-10",8.5,
"BEL","HUR","TOT","PC_LF","M","2013-11",8.5,
"BEL","HUR","TOT","PC_LF","M","2013-12",8.6,
"BEL","HUR","TOT","PC_LF","M","2014-01",8.7,
"BEL","HUR","TOT","PC_LF","M","2014-02",8.6,
"BEL","HUR","TOT","PC_LF","M","2014-03",8.6,
"BEL","HUR","TOT","PC_LF","M","2014-04",8.6,
"BEL","HUR","TOT","PC_LF","M","2014-05",8.6,
"BEL","HUR","TOT","PC_LF","M","2014-06",8.5,
"BEL","HUR","TOT","PC_LF","M","2014-07",8.4,
"BEL","HUR","TOT","PC_LF","M","2014-08",8.4,
"BEL","HUR","TOT","PC_LF","M","2014-09",8.5,
"BEL","HUR","TOT","PC_LF","M","2014-10",8.6,
"BEL","HUR","TOT","PC_LF","M","2014-11",8.6,
"BEL","HUR","TOT","PC_LF","M","2014-12",8.6,
"BEL","HUR","TOT","PC_LF","M","2015-01",8.6,
"BEL","HUR","TOT","PC_LF","M","2015-02",8.6,
"BEL","HUR","TOT","PC_LF","M","2015-03",8.8,
"BEL","HUR","TOT","PC_LF","M","2015-04",8.8,
"BEL","HUR","TOT","PC_LF","M","2015-05",8.7,
"BEL","HUR","TOT","PC_LF","M","2015-06",8.5,
"BEL","HUR","TOT","PC_LF","M","2015-07",8,
"BEL","HUR","TOT","PC_LF","M","2015-08",7.8,
"BEL","HUR","TOT","PC_LF","M","2015-09",8.1,
"BEL","HUR","TOT","PC_LF","M","2015-10",8.6,
"BEL","HUR","TOT","PC_LF","M","2015-11",8.8,
"BEL","HUR","TOT","PC_LF","M","2015-12",8.8,
"BEL","HUR","TOT","PC_LF","M","2016-01",8.4,
"BEL","HUR","TOT","PC_LF","M","2016-02",8.2,
"BEL","HUR","TOT","PC_LF","M","2016-03",8.2,
"BEL","HUR","TOT","PC_LF","M","2016-04",8.3,
"BEL","HUR","TOT","PC_LF","M","2016-05",8.2,
"BEL","HUR","TOT","PC_LF","M","2016-06",8.2,
"BEL","HUR","TOT","PC_LF","M","2016-07",7.8,
"BEL","HUR","TOT","PC_LF","M","2016-08",7.7,
"BEL","HUR","TOT","PC_LF","M","2016-09",7.5,
"BEL","HUR","TOT","PC_LF","M","2016-10",7.3,
"BEL","HUR","TOT","PC_LF","M","2016-11",7.2,
"BEL","HUR","TOT","PC_LF","M","2016-12",7.3,"B"
"BEL","HUR","TOT","PC_LF","M","2017-01",7.6,
"BEL","HUR","TOT","PC_LF","M","2017-02",7.8,
"BEL","HUR","TOT","PC_LF","M","2017-03",7.7,
"BEL","HUR","TOT","PC_LF","M","2017-04",7.4,
"BEL","HUR","TOT","PC_LF","M","2017-05",7.3,
"BEL","HUR","TOT","PC_LF","M","2017-06",7.2,
"BEL","HUR","TOT","PC_LF","M","2017-07",7.2,
"BEL","HUR","TOT","PC_LF","M","2017-08",7.1,
"BEL","HUR","TOT","PC_LF","M","2017-09",6.9,
"BEL","HUR","TOT","PC_LF","M","2017-10",6.7,
"BEL","HUR","TOT","PC_LF","M","2017-11",6.4,
"BEL","HUR","TOT","PC_LF","M","2017-12",6.2,
"BEL","HUR","TOT","PC_LF","M","2018-01",6.1,
"BEL","HUR","TOT","PC_LF","M","2018-02",6.1,
"BEL","HUR","TOT","PC_LF","M","2018-03",6.2,
"BEL","HUR","TOT","PC_LF","M","2018-04",6.4,
"BEL","HUR","TOT","PC_LF","M","2018-05",6.4,
"BEL","HUR","TOT","PC_LF","M","2018-06",6.2,
"BEL","HUR","TOT","PC_LF","M","2018-07",5.9,
"BEL","HUR","TOT","PC_LF","M","2018-08",5.6,
"BEL","HUR","TOT","PC_LF","M","2018-09",5.6,
"BEL","HUR","TOT","PC_LF","M","2018-10",5.7,
"BEL","HUR","TOT","PC_LF","M","2018-11",5.8,
"BEL","HUR","TOT","PC_LF","M","2018-12",5.7,
"BEL","HUR","TOT","PC_LF","M","2019-01",5.6,
"BEL","HUR","TOT","PC_LF","M","2019-02",5.5,
"BEL","HUR","TOT","PC_LF","M","2019-03",5.5,
"BEL","HUR","TOT","PC_LF","M","2019-04",5.6,
"BEL","HUR","TOT","PC_LF","M","2019-05",5.5,
"BEL","HUR","TOT","PC_LF","M","2019-06",5.4,
"BEL","HUR","TOT","PC_LF","M","2019-07",5.2,
"BEL","HUR","TOT","PC_LF","M","2019-08",5.1,
"BEL","HUR","TOT","PC_LF","M","2019-09",5.1,
"BEL","HUR","TOT","PC_LF","M","2019-10",5.2,
"BEL","HUR","TOT","PC_LF","M","2019-11",5.2,
"BEL","HUR","TOT","PC_LF","M","2019-12",5.3,
"BEL","HUR","TOT","PC_LF","M","2020-01",5.1,
"BEL","HUR","TOT","PC_LF","M","2020-02",5,
"BEL","HUR","TOT","PC_LF","M","2020-03",4.9,
"BEL","HUR","TOT","PC_LF","M","2020-04",4.9,
"BEL","HUR","TOT","PC_LF","M","2020-05",5,
"BEL","HUR","TOT","PC_LF","M","2020-06",5.4,
"BEL","HUR","TOT","PC_LF","M","2020-07",6,
"BEL","HUR","TOT","PC_LF","M","2020-08",6.4,
"BEL","HUR","TOT","PC_LF","M","2020-09",6.3,
"BEL","HUR","TOT","PC_LF","M","2020-10",5.8,
"BEL","HUR","TOT","PC_LF","M","2020-11",5.8,
"BEL","HUR","TOT","PC_LF","M","2020-12",6,"B"
"BEL","HUR","TOT","PC_LF","M","2021-01",6.5,
"BEL","HUR","TOT","PC_LF","M","2021-02",6.7,
"BEL","HUR","TOT","PC_LF","M","2021-03",6.7,
"BEL","HUR","TOT","PC_LF","M","2021-04",6.5,
"BEL","HUR","TOT","PC_LF","M","2021-05",6.3,
"BEL","HUR","TOT","PC_LF","M","2021-06",6.2,
"BEL","HUR","TOT","PC_LF","M","2021-07",6.2,
"BEL","HUR","TOT","PC_LF","M","2021-08",6.4,
"BEL","HUR","TOT","PC_LF","M","2021-09",6.3,
"BEL","HUR","TOT","PC_LF","M","2021-10",6.3,
"FIN","HUR","TOT","PC_LF","M","2005-09",7.9,
"FIN","HUR","TOT","PC_LF","M","2005-10",7.8,
"FIN","HUR","TOT","PC_LF","M","2005-11",8.5,
"FIN","HUR","TOT","PC_LF","M","2005-12",8.4,
"FIN","HUR","TOT","PC_LF","M","2006-01",8.3,
"FIN","HUR","TOT","PC_LF","M","2006-02",8,
"FIN","HUR","TOT","PC_LF","M","2006-03",7.7,
"FIN","HUR","TOT","PC_LF","M","2006-04",7.7,
"FIN","HUR","TOT","PC_LF","M","2006-05",7.9,
"FIN","HUR","TOT","PC_LF","M","2006-06",7.7,
"FIN","HUR","TOT","PC_LF","M","2006-07",7.6,
"FIN","HUR","TOT","PC_LF","M","2006-08",7.7,
"FIN","HUR","TOT","PC_LF","M","2006-09",7.6,
"FIN","HUR","TOT","PC_LF","M","2006-10",7.7,
"FIN","HUR","TOT","PC_LF","M","2006-11",7.3,
"FIN","HUR","TOT","PC_LF","M","2006-12",7.1,
"FIN","HUR","TOT","PC_LF","M","2007-01",7.2,
"FIN","HUR","TOT","PC_LF","M","2007-02",7.2,
"FIN","HUR","TOT","PC_LF","M","2007-03",7.1,
"FIN","HUR","TOT","PC_LF","M","2007-04",6.5,
"FIN","HUR","TOT","PC_LF","M","2007-05",6.6,
"FIN","HUR","TOT","PC_LF","M","2007-06",6.9,
"FIN","HUR","TOT","PC_LF","M","2007-07",6.8,
"FIN","HUR","TOT","PC_LF","M","2007-08",6.8,
"FIN","HUR","TOT","PC_LF","M","2007-09",7.1,
"FIN","HUR","TOT","PC_LF","M","2007-10",6.6,
"FIN","HUR","TOT","PC_LF","M","2007-11",6.7,
"FIN","HUR","TOT","PC_LF","M","2007-12",6.6,
"FIN","HUR","TOT","PC_LF","M","2008-01",6.5,
"FIN","HUR","TOT","PC_LF","M","2008-02",6.1,
"FIN","HUR","TOT","PC_LF","M","2008-03",6.4,
"FIN","HUR","TOT","PC_LF","M","2008-04",5.7,
"FIN","HUR","TOT","PC_LF","M","2008-05",6.4,
"FIN","HUR","TOT","PC_LF","M","2008-06",6.4,
"FIN","HUR","TOT","PC_LF","M","2008-07",6.1,
"FIN","HUR","TOT","PC_LF","M","2008-08",6.4,
"FIN","HUR","TOT","PC_LF","M","2008-09",6.7,
"FIN","HUR","TOT","PC_LF","M","2008-10",6.3,
"FIN","HUR","TOT","PC_LF","M","2008-11",6.7,
"FIN","HUR","TOT","PC_LF","M","2008-12",6.7,"B"
"FIN","HUR","TOT","PC_LF","M","2009-01",7,
"FIN","HUR","TOT","PC_LF","M","2009-02",7.4,
"FIN","HUR","TOT","PC_LF","M","2009-03",7.7,
"FIN","HUR","TOT","PC_LF","M","2009-04",8.3,
"FIN","HUR","TOT","PC_LF","M","2009-05",8.7,
